architecture,recorder_config,benchmark,variant,seed,workload_scale,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,event_rate_per_kinst,cycles_to_failure,commits_to_failure,property_id,replay_status,final_signature_match,event_match,overflow,notes
v1,full,sensor_threshold_bug,failing,5,smoke,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,failing,5,smoke,compiler_c_scaled,true,128,31,4,48,129.032258,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,hashed,sensor_threshold_bug,failing,5,smoke,compiler_c_scaled,true,128,31,4,48,129.032258,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,full,sensor_threshold_bug,failing,5,smoke,compiler_c_scaled,true,128,31,9,160,290.322581,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v1,full,sensor_threshold_bug,failing,1,short,compiler_c_scaled,true,1604,353,136,2856,385.269122,1604,353,3,PASS,PASS,PASS,false,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,failing,1,short,compiler_c_scaled,true,1604,353,48,400,135.977337,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,hashed,sensor_threshold_bug,failing,1,short,compiler_c_scaled,true,1604,353,48,400,135.977337,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,full,sensor_threshold_bug,failing,1,short,compiler_c_scaled,true,1604,353,136,2192,385.269122,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v1,full,sensor_threshold_bug,failing,2,short,compiler_c_scaled,true,1604,353,136,2856,385.269122,1604,353,3,PASS,PASS,PASS,false,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,failing,2,short,compiler_c_scaled,true,1604,353,48,400,135.977337,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,hashed,sensor_threshold_bug,failing,2,short,compiler_c_scaled,true,1604,353,48,400,135.977337,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,full,sensor_threshold_bug,failing,2,short,compiler_c_scaled,true,1604,353,136,2192,385.269122,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v1,full,sensor_threshold_bug,failing,3,short,compiler_c_scaled,true,1604,353,136,2856,385.269122,1604,353,3,PASS,PASS,PASS,false,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,failing,3,short,compiler_c_scaled,true,1604,353,48,400,135.977337,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,hashed,sensor_threshold_bug,failing,3,short,compiler_c_scaled,true,1604,353,48,400,135.977337,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,full,sensor_threshold_bug,failing,3,short,compiler_c_scaled,true,1604,353,136,2192,385.269122,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v1,full,sensor_threshold_bug,failing,4,short,compiler_c_scaled,true,1604,353,136,2856,385.269122,1604,353,3,PASS,PASS,PASS,false,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,failing,4,short,compiler_c_scaled,true,1604,353,48,400,135.977337,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,hashed,sensor_threshold_bug,failing,4,short,compiler_c_scaled,true,1604,353,48,400,135.977337,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,full,sensor_threshold_bug,failing,4,short,compiler_c_scaled,true,1604,353,136,2192,385.269122,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v1,full,sensor_threshold_bug,failing,5,short,compiler_c_scaled,true,1604,353,136,2856,385.269122,1604,353,3,PASS,PASS,PASS,false,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,failing,5,short,compiler_c_scaled,true,1604,353,48,400,135.977337,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,hashed,sensor_threshold_bug,failing,5,short,compiler_c_scaled,true,1604,353,48,400,135.977337,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,full,sensor_threshold_bug,failing,5,short,compiler_c_scaled,true,1604,353,136,2192,385.269122,1604,353,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v1,full,sensor_threshold_bug,fixed,1,smoke,compiler_c_scaled,true,5000,1660,256,5376,154.216867,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,fixed,1,smoke,compiler_c_scaled,true,5000,1660,90,736,54.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,fixed,1,smoke,compiler_c_scaled,true,5000,1660,90,736,54.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,fixed,1,smoke,compiler_c_scaled,true,5000,1660,256,4112,154.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,fixed,2,smoke,compiler_c_scaled,true,5000,1660,256,5376,154.216867,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,fixed,2,smoke,compiler_c_scaled,true,5000,1660,90,736,54.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,fixed,2,smoke,compiler_c_scaled,true,5000,1660,90,736,54.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,fixed,2,smoke,compiler_c_scaled,true,5000,1660,256,4112,154.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,fixed,3,smoke,compiler_c_scaled,true,5000,1660,256,5376,154.216867,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,fixed,3,smoke,compiler_c_scaled,true,5000,1660,90,736,54.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,fixed,3,smoke,compiler_c_scaled,true,5000,1660,90,736,54.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,fixed,3,smoke,compiler_c_scaled,true,5000,1660,256,4112,154.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,fixed,4,smoke,compiler_c_scaled,true,5000,1660,256,5376,154.216867,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,fixed,4,smoke,compiler_c_scaled,true,5000,1660,90,736,54.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,fixed,4,smoke,compiler_c_scaled,true,5000,1660,90,736,54.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,fixed,4,smoke,compiler_c_scaled,true,5000,1660,256,4112,154.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,fixed,5,smoke,compiler_c_scaled,true,5000,1660,256,5376,154.216867,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,fixed,5,smoke,compiler_c_scaled,true,5000,1660,90,736,54.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,fixed,5,smoke,compiler_c_scaled,true,5000,1660,90,736,54.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,fixed,5,smoke,compiler_c_scaled,true,5000,1660,256,4112,154.216867,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,fixed,1,short,compiler_c_scaled,true,10000,3157,256,5376,81.089642,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,fixed,1,short,compiler_c_scaled,true,10000,3157,90,736,28.508077,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,fixed,1,short,compiler_c_scaled,true,10000,3157,90,736,28.508077,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,fixed,1,short,compiler_c_scaled,true,10000,3157,256,4112,81.089642,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,fixed,2,short,compiler_c_scaled,true,10000,3157,256,5376,81.089642,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,fixed,2,short,compiler_c_scaled,true,10000,3157,90,736,28.508077,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,fixed,2,short,compiler_c_scaled,true,10000,3157,90,736,28.508077,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,fixed,2,short,compiler_c_scaled,true,10000,3157,256,4112,81.089642,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,fixed,3,short,compiler_c_scaled,true,10000,3157,256,5376,81.089642,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,fixed,3,short,compiler_c_scaled,true,10000,3157,90,736,28.508077,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,fixed,3,short,compiler_c_scaled,true,10000,3157,90,736,28.508077,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,fixed,3,short,compiler_c_scaled,true,10000,3157,256,4112,81.089642,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,fixed,4,short,compiler_c_scaled,true,10000,3157,256,5376,81.089642,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,fixed,4,short,compiler_c_scaled,true,10000,3157,90,736,28.508077,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,fixed,4,short,compiler_c_scaled,true,10000,3157,90,736,28.508077,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,fixed,4,short,compiler_c_scaled,true,10000,3157,256,4112,81.089642,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,fixed,5,short,compiler_c_scaled,true,10000,3157,256,5376,81.089642,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,fixed,5,short,compiler_c_scaled,true,10000,3157,90,736,28.508077,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,fixed,5,short,compiler_c_scaled,true,10000,3157,90,736,28.508077,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,fixed,5,short,compiler_c_scaled,true,10000,3157,256,4112,81.089642,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,no_failure_edge,1,smoke,compiler_c_scaled,true,5000,1661,256,5376,154.124022,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,no_failure_edge,1,smoke,compiler_c_scaled,true,5000,1661,90,736,54.184226,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,no_failure_edge,1,smoke,compiler_c_scaled,true,5000,1661,90,736,54.184226,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,no_failure_edge,1,smoke,compiler_c_scaled,true,5000,1661,256,4112,154.124022,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,no_failure_edge,2,smoke,compiler_c_scaled,true,5000,1661,256,5376,154.124022,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,no_failure_edge,2,smoke,compiler_c_scaled,true,5000,1661,90,736,54.184226,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,no_failure_edge,2,smoke,compiler_c_scaled,true,5000,1661,90,736,54.184226,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,no_failure_edge,2,smoke,compiler_c_scaled,true,5000,1661,256,4112,154.124022,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,no_failure_edge,3,smoke,compiler_c_scaled,true,5000,1661,256,5376,154.124022,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,no_failure_edge,3,smoke,compiler_c_scaled,true,5000,1661,90,736,54.184226,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,no_failure_edge,3,smoke,compiler_c_scaled,true,5000,1661,90,736,54.184226,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,no_failure_edge,3,smoke,compiler_c_scaled,true,5000,1661,256,4112,154.124022,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,no_failure_edge,4,smoke,compiler_c_scaled,true,5000,1661,256,5376,154.124022,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,no_failure_edge,4,smoke,compiler_c_scaled,true,5000,1661,90,736,54.184226,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,hashed,sensor_threshold_bug,no_failure_edge,4,smoke,compiler_c_scaled,true,5000,1661,90,736,54.184226,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v2,full,sensor_threshold_bug,no_failure_edge,4,smoke,compiler_c_scaled,true,5000,1661,256,4112,154.124022,NA,NA,0,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed. Source v1 event count is a lower bound because v1 overflowed at 256 events."
v1,full,sensor_threshold_bug,no_failure_edge,5,smoke,compiler_c_scaled,true,5000,1661,256,5376,154.124022,NA,NA,0,PASS,PASS,PASS,true,measured v1 workload_scaling row
