recorder_config,benchmark,variant,seed,workload_scale,replay_status,negative_replay_status,event_match,final_signature_match,capsule_bytes,events,notes
hashed,sensor_threshold_bug,failing,3,short,PASS,REJECT,PASS,PASS,2856,136,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,3,short,PASS,REJECT,PASS,PASS,11718,558,capture-all diagnostic mode
full,sensor_threshold_bug,failing,3,short,PASS,REJECT,PASS,PASS,11718,558,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,4,short,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,4,short,PASS,REJECT,PASS,PASS,2856,136,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,4,short,PASS,REJECT,PASS,PASS,2856,136,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,4,short,PASS,REJECT,PASS,PASS,11718,558,capture-all diagnostic mode
full,sensor_threshold_bug,failing,4,short,PASS,REJECT,PASS,PASS,11718,558,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,5,short,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,5,short,PASS,REJECT,PASS,PASS,2856,136,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,5,short,PASS,REJECT,PASS,PASS,2856,136,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,5,short,PASS,REJECT,PASS,PASS,11718,558,capture-all diagnostic mode
full,sensor_threshold_bug,failing,5,short,PASS,REJECT,PASS,PASS,11718,558,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,1,medium,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,1,medium,PASS,REJECT,PASS,PASS,10920,520,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,1,medium,PASS,REJECT,PASS,PASS,10920,520,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,1,medium,PASS,REJECT,PASS,PASS,43974,2094,capture-all diagnostic mode
full,sensor_threshold_bug,failing,1,medium,PASS,REJECT,PASS,PASS,43974,2094,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,2,medium,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,2,medium,PASS,REJECT,PASS,PASS,10920,520,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,2,medium,PASS,REJECT,PASS,PASS,10920,520,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,2,medium,PASS,REJECT,PASS,PASS,43974,2094,capture-all diagnostic mode
full,sensor_threshold_bug,failing,2,medium,PASS,REJECT,PASS,PASS,43974,2094,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,3,medium,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,3,medium,PASS,REJECT,PASS,PASS,10920,520,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,3,medium,PASS,REJECT,PASS,PASS,10920,520,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,3,medium,PASS,REJECT,PASS,PASS,43974,2094,capture-all diagnostic mode
full,sensor_threshold_bug,failing,3,medium,PASS,REJECT,PASS,PASS,43974,2094,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,4,medium,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,4,medium,PASS,REJECT,PASS,PASS,10920,520,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,4,medium,PASS,REJECT,PASS,PASS,10920,520,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,4,medium,PASS,REJECT,PASS,PASS,43974,2094,capture-all diagnostic mode
full,sensor_threshold_bug,failing,4,medium,PASS,REJECT,PASS,PASS,43974,2094,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,5,medium,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,5,medium,PASS,REJECT,PASS,PASS,10920,520,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,5,medium,PASS,REJECT,PASS,PASS,10920,520,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,5,medium,PASS,REJECT,PASS,PASS,43974,2094,capture-all diagnostic mode
full,sensor_threshold_bug,failing,5,medium,PASS,REJECT,PASS,PASS,43974,2094,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,1,long,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,1,long,PASS,REJECT,PASS,PASS,43176,2056,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,1,long,PASS,REJECT,PASS,PASS,43176,2056,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,1,long,PASS,REJECT,PASS,PASS,172998,8238,capture-all diagnostic mode
full,sensor_threshold_bug,failing,1,long,PASS,REJECT,PASS,PASS,172998,8238,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,2,long,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,2,long,PASS,REJECT,PASS,PASS,43176,2056,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,2,long,PASS,REJECT,PASS,PASS,43176,2056,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,2,long,PASS,REJECT,PASS,PASS,172998,8238,capture-all diagnostic mode
full,sensor_threshold_bug,failing,2,long,PASS,REJECT,PASS,PASS,172998,8238,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,3,long,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,3,long,PASS,REJECT,PASS,PASS,43176,2056,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,3,long,PASS,REJECT,PASS,PASS,43176,2056,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,3,long,PASS,REJECT,PASS,PASS,172998,8238,capture-all diagnostic mode
full,sensor_threshold_bug,failing,3,long,PASS,REJECT,PASS,PASS,172998,8238,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,4,long,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,4,long,PASS,REJECT,PASS,PASS,43176,2056,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,4,long,PASS,REJECT,PASS,PASS,43176,2056,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,4,long,PASS,REJECT,PASS,PASS,172998,8238,capture-all diagnostic mode
full,sensor_threshold_bug,failing,4,long,PASS,REJECT,PASS,PASS,172998,8238,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,5,long,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,5,long,PASS,REJECT,PASS,PASS,43176,2056,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,5,long,PASS,REJECT,PASS,PASS,43176,2056,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,5,long,PASS,REJECT,PASS,PASS,172998,8238,capture-all diagnostic mode
full,sensor_threshold_bug,failing,5,long,PASS,REJECT,PASS,PASS,172998,8238,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,1,stress,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,1,stress,PASS,REJECT,PASS,PASS,172200,8200,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,1,stress,PASS,REJECT,PASS,PASS,172200,8200,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,1,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,failing,1,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,2,stress,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,2,stress,PASS,REJECT,PASS,PASS,172200,8200,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,2,stress,PASS,REJECT,PASS,PASS,172200,8200,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,2,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,failing,2,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,3,stress,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,3,stress,PASS,REJECT,PASS,PASS,172200,8200,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,3,stress,PASS,REJECT,PASS,PASS,172200,8200,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,3,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,failing,3,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,4,stress,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,4,stress,PASS,REJECT,PASS,PASS,172200,8200,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,4,stress,PASS,REJECT,PASS,PASS,172200,8200,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,4,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,failing,4,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,5,stress,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,5,stress,PASS,REJECT,PASS,PASS,172200,8200,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,5,stress,PASS,REJECT,PASS,PASS,172200,8200,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,5,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,failing,5,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,1,smoke,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,1,smoke,PASS,REJECT,PASS,PASS,34503,1643,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,1,smoke,PASS,REJECT,PASS,PASS,34503,1643,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,1,smoke,PASS,REJECT,PASS,PASS,34965,1665,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,1,smoke,PASS,REJECT,PASS,PASS,34965,1665,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,2,smoke,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,2,smoke,PASS,REJECT,PASS,PASS,34503,1643,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,2,smoke,PASS,REJECT,PASS,PASS,34503,1643,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,2,smoke,PASS,REJECT,PASS,PASS,34965,1665,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,2,smoke,PASS,REJECT,PASS,PASS,34965,1665,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,3,smoke,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,3,smoke,PASS,REJECT,PASS,PASS,34503,1643,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,3,smoke,PASS,REJECT,PASS,PASS,34503,1643,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,3,smoke,PASS,REJECT,PASS,PASS,34965,1665,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,3,smoke,PASS,REJECT,PASS,PASS,34965,1665,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,4,smoke,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,4,smoke,PASS,REJECT,PASS,PASS,34503,1643,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,4,smoke,PASS,REJECT,PASS,PASS,34503,1643,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,4,smoke,PASS,REJECT,PASS,PASS,34965,1665,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,4,smoke,PASS,REJECT,PASS,PASS,34965,1665,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,5,smoke,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,5,smoke,PASS,REJECT,PASS,PASS,34503,1643,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,5,smoke,PASS,REJECT,PASS,PASS,34503,1643,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,5,smoke,PASS,REJECT,PASS,PASS,34965,1665,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,5,smoke,PASS,REJECT,PASS,PASS,34965,1665,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,1,short,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,1,short,PASS,REJECT,PASS,PASS,61824,2944,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,1,short,PASS,REJECT,PASS,PASS,61824,2944,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,1,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,1,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,2,short,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,2,short,PASS,REJECT,PASS,PASS,61824,2944,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,2,short,PASS,REJECT,PASS,PASS,61824,2944,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,2,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,2,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,3,short,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,3,short,PASS,REJECT,PASS,PASS,61824,2944,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,3,short,PASS,REJECT,PASS,PASS,61824,2944,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,3,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,3,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,4,short,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,4,short,PASS,REJECT,PASS,PASS,61824,2944,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,4,short,PASS,REJECT,PASS,PASS,61824,2944,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,4,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,4,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,5,short,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,5,short,PASS,REJECT,PASS,PASS,61824,2944,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,5,short,PASS,REJECT,PASS,PASS,61824,2944,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,5,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,5,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,1,medium,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,1,medium,PASS,REJECT,PASS,PASS,318969,15189,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,1,medium,PASS,REJECT,PASS,PASS,318969,15189,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,1,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,1,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,2,medium,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,2,medium,PASS,REJECT,PASS,PASS,318969,15189,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,2,medium,PASS,REJECT,PASS,PASS,318969,15189,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,2,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,2,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,3,medium,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,3,medium,PASS,REJECT,PASS,PASS,318969,15189,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,3,medium,PASS,REJECT,PASS,PASS,318969,15189,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,3,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,3,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,4,medium,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,4,medium,PASS,REJECT,PASS,PASS,318969,15189,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,4,medium,PASS,REJECT,PASS,PASS,318969,15189,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,4,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,4,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,5,medium,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,5,medium,PASS,REJECT,PASS,PASS,318969,15189,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,5,medium,PASS,REJECT,PASS,PASS,318969,15189,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,5,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,5,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,1,long,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,1,long,PASS,REJECT,PASS,PASS,344064,16384,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,1,long,PASS,REJECT,PASS,PASS,344064,16384,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,1,long,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,1,long,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,2,long,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,2,long,PASS,REJECT,PASS,PASS,344064,16384,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,2,long,PASS,REJECT,PASS,PASS,344064,16384,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,2,long,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,fixed,2,long,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,fixed,3,long,PASS,REJECT,PASS,PASS,63,3,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,fixed,3,long,PASS,REJECT,PASS,PASS,344064,16384,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,fixed,3,long,PASS,REJECT,PASS,PASS,344064,16384,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,fixed,3,long,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
